######################################################################
# Supplementary data to
#   Zubaran, Ritt: "An effective heuristic algorithm for the partial shop scheduling problem"
#
# The table contains one entry for each execution of the algorithm.
#
# Contains the extended results for the table in Figure 7. Reports the 5000 executions on a total of 500 instances.
#
# The total execution time is 300 seconds.
#
# Columns are as follows
#  1: index
#  2: instance name
#  3: instance replication
#  4: seed for execution
#  5: lower bound 
#  6: makespan at 300 seconds
#  7: Time to best solution
######################################################################
103   GSSfrompspTa02   0    3  942   973 247.524
104   GSSfrompspTa02   0    4  942   973  22.020
105   GSSfrompspTa02   0    5  942   973  56.182
106   GSSfrompspTa02   0    6  942   973  19.188
107   GSSfrompspTa02   0    7  942   973  14.930
108   GSSfrompspTa02   0    8  942   973 110.925
109   GSSfrompspTa02   0    9  942   973  15.057
110   GSSfrompspTa02   0   10  942   973  11.739
111   GSSfrompspTa02   1    1  944   950  55.326
112   GSSfrompspTa02   1    2  944   954 286.164
113   GSSfrompspTa02   1    3  944   956   9.720
114   GSSfrompspTa02   1    4  944   950 110.066
115   GSSfrompspTa02   1    5  944   944 153.515
116   GSSfrompspTa02   1    6  944   956  85.547
117   GSSfrompspTa02   1    7  944   956  37.701
118   GSSfrompspTa02   1    8  944   944 263.563
119   GSSfrompspTa02   1    9  944   948 205.061
120   GSSfrompspTa02   1   10  944   950  92.422
121   GSSfrompspTa02   2    1  942   968 279.525
122   GSSfrompspTa02   2    2  942   966  50.931
123   GSSfrompspTa02   2    3  942   972  95.837
124   GSSfrompspTa02   2    4  942   966 131.343
125   GSSfrompspTa02   2    5  942   967 258.909
126   GSSfrompspTa02   2    6  942   966  37.507
127   GSSfrompspTa02   2    7  942   965  93.347
128   GSSfrompspTa02   2    8  942   965  80.629
129   GSSfrompspTa02   2    9  942   965 144.247
130   GSSfrompspTa02   2   10  942   965  45.156
131   GSSfrompspTa02   3    1  942   992  73.662
132   GSSfrompspTa02   3    2  942   991  27.315
133   GSSfrompspTa02   3    3  942   991 160.748
134   GSSfrompspTa02   3    4  942   991  70.627
135   GSSfrompspTa02   3    5  942   991 110.281
136   GSSfrompspTa02   3    6  942   996  32.911
137   GSSfrompspTa02   3    7  942   991  36.153
138   GSSfrompspTa02   3    8  942   991  83.986
139   GSSfrompspTa02   3    9  942   991 113.528
140   GSSfrompspTa02   3   10  942   991 199.392
141   GSSfrompspTa02   4    1  942   967 298.741
142   GSSfrompspTa02   4    2  942   960 242.851
143   GSSfrompspTa02   4    3  942   963 246.426
144   GSSfrompspTa02   4    4  942   975  15.273
145   GSSfrompspTa02   4    5  942   975  12.812
146   GSSfrompspTa02   4    6  942   958 244.314
147   GSSfrompspTa02   4    7  942   960 172.821
148   GSSfrompspTa02   4    8  942   962 100.812
149   GSSfrompspTa02   4    9  942   961 270.261
150   GSSfrompspTa02   4   10  942   956 222.312
